DATA;TOTAL_VENDA;CAIXA_VENDEDOR;COD_FORMA_PGTO;VALOR_CANCELADO;NUMERO_CUPOM_FISCAL
2018-12-17 00:00:00.000;255;TH;1;109,9;2
2018-12-17 00:00:00.000;245;JLP;1;0;3
2018-12-17 00:00:00.000;128;JLP;1;0;4
2018-12-17 00:00:00.000;557;JLP;1;149,5;5
2018-12-17 00:00:00.000;313;JLP;4;0;6
2018-12-17 00:00:00.000;537;JLP;3;0;7
2018-12-17 00:00:00.000;430;JLP;##;0;8
2018-12-17 00:00:00.000;476;JLP;3;0;9
2018-12-17 00:00:00.000;451;JLP;3;0;10
2018-12-17 00:00:00.000;553;JLP;3;0;11
2018-12-17 00:00:00.000;222;JLP;3;0;12
2018-12-17 00:00:00.000;524;JLP;3;0;13
2018-12-17 00:00:00.000;433;JLP;4;0;14
2018-12-17 00:00:00.000;257;JLP;##;0;15
2018-12-17 00:00:00.000;190;JLP;1;0;16
2018-12-17 00:00:00.000;271;JLP;4;0;17
2018-12-17 00:00:00.000;347;JLP;3;0;18
2018-12-17 00:00:00.000;294;JLP;3;0;19
2018-12-17 00:00:00.000;238;JLP;4;0;20
2018-12-17 00:00:00.000;484;JLP;4;109,7;21
2018-12-17 00:00:00.000;474;JLP;4;33,9;22
2018-12-17 00:00:00.000;542;JLP;4;0;23
2018-12-17 00:00:00.000;596;JLP;3;0;24
2018-12-17 00:00:00.000;200;JLP;3;0;25
2018-12-17 00:00:00.000;145;JLP;3;0;26
2018-12-17 00:00:00.000;374;JLP;3;0;27
2018-12-17 00:00:00.000;567;JLP;3;0;28
2018-12-17 00:00:00.000;233;JLP;3;0;29
2018-12-17 00:00:00.000;116;JLP;##;0;30
2018-12-17 00:00:00.000;117;JLP;3;0;31
2018-12-17 00:00:00.000;151;JLP;1;0;32
2018-12-17 00:00:00.000;427;JLP;1;0;33
2018-12-18 00:00:00.000;182;JLP;4;0;34
2018-12-18 00:00:00.000;566;JLP;3;0;35
2018-12-18 00:00:00.000;393;JLP;4;0;36
2018-12-18 00:00:00.000;251;JLP;1;0;37
2018-12-18 00:00:00.000;573;JLP;1;0;38
2018-12-18 00:00:00.000;488;JLP;4;0;39
2018-12-18 00:00:00.000;224;JLP;1;0;40
2018-12-18 00:00:00.000;141;JLP;1;0;41
2018-12-18 00:00:00.000;250;JLP;3;0;42
2018-12-18 00:00:00.000;399;JLP;3;0;43
2018-12-18 00:00:00.000;188;JLP;1;0;44
2018-12-18 00:00:00.000;476;JLP;4;0;45
2018-12-18 00:00:00.000;179;JLP;1;0;46
2018-12-18 00:00:00.000;199;JLP;4;0;47
2018-12-18 00:00:00.000;385;JLP;4;0;48
2018-12-18 00:00:00.000;544;JLP;4;0;49
2018-12-18 00:00:00.000;134;JLP;3;0;50
2018-12-18 00:00:00.000;165;JLP;1;0;51
2018-12-18 00:00:00.000;561;JLP;4;0;52
2018-12-18 00:00:00.000;415;JLP;4;0;53
2018-12-18 00:00:00.000;354;JLP;4;0;54
2018-12-18 00:00:00.000;427;JLP;4;0;55
2018-12-18 00:00:00.000;308;JLP;1;0;56
2018-12-18 00:00:00.000;204;JLP;1;0;57
2018-12-18 00:00:00.000;291;JLP;1;0;58
2018-12-18 00:00:00.000;605;JLP;3;0;59
2018-12-18 00:00:00.000;466;JLP;3;0;60
2018-12-18 00:00:00.000;529;JLP;4;0;61
2018-12-18 00:00:00.000;575;JLP;4;0;62
2018-12-18 00:00:00.000;532;JLP;##;0;63
2018-12-18 00:00:00.000;422;JLP;3;0;64
2018-12-18 00:00:00.000;181;JLP;4;0;65
2018-12-18 00:00:00.000;403;JLP;3;0;66
2018-12-18 00:00:00.000;606;JLP;4;0;67
2018-12-18 00:00:00.000;523;JLP;1;0;68
2018-12-18 00:00:00.000;333;JLP;1;0;69
2018-12-18 00:00:00.000;605;JLP;4;0;70
2018-12-18 00:00:00.000;342;JLP;4;0;71
2018-12-18 00:00:00.000;174;JLP;1;0;72
2018-12-18 00:00:00.000;586;JLP;4;0;73
2018-12-18 00:00:00.000;472;JLP;##;0;74
2018-12-18 00:00:00.000;462;JLP;3;0;75
2018-12-18 00:00:00.000;489;JLP;1;0;76
2018-12-18 00:00:00.000;386;JLP;1;0;77
2018-12-18 00:00:00.000;333;JLP;4;0;78
2018-12-18 00:00:00.000;363;JLP;3;0;79
2018-12-18 00:00:00.000;604;JLP;4;0;80
2018-12-18 00:00:00.000;340;JLP;##;0;81
2018-12-18 00:00:00.000;122;JLP;4;0;82
2018-12-18 00:00:00.000;606;JLP;4;0;83
2018-12-18 00:00:00.000;345;JLP;3;0;84
2018-12-18 00:00:00.000;139;JLP;3;0;85
2018-12-18 00:00:00.000;611;JLP;4;0;86
2018-12-18 00:00:00.000;361;JLP;3;0;87
2018-12-18 00:00:00.000;606;JLP;3;0;88
2018-12-18 00:00:00.000;158;JLP;4;0;89
2018-12-18 00:00:00.000;275;JLP;3;0;90
2018-12-18 00:00:00.000;528;JLP;4;0;91
2018-12-18 00:00:00.000;259;JLP;1;0;92
2018-12-18 00:00:00.000;199;JLP;1;0;93
2018-12-18 00:00:00.000;234;JLP;4;0;94
2018-12-18 00:00:00.000;275;JLP;1;0;95
2018-12-18 00:00:00.000;559;JLP;1;0;96
2018-12-18 00:00:00.000;573;JLP;4;0;97
2018-12-18 00:00:00.000;339;JLP;4;0;98
2018-12-18 00:00:00.000;167;JLP;1;0;99
2018-12-18 00:00:00.000;567;JLP;4;0;100
2018-12-18 00:00:00.000;361;JLP;3;0;101
2018-12-18 00:00:00.000;146;JLP;4;0;102
2018-12-18 00:00:00.000;291;JLP;4;0;103
2018-12-18 00:00:00.000;548;JLP;3;0;104
2018-12-18 00:00:00.000;448;JLP;3;0;105
2018-12-18 00:00:00.000;449;JLP;4;0;106
2018-12-18 00:00:00.000;127;JLP;4;0;107
2018-12-18 00:00:00.000;153;JLP;4;0;108
2018-12-18 00:00:00.000;411;JLP;1;0;109
2018-12-18 00:00:00.000;127;JLP;3;0;110
2018-12-18 00:00:00.000;599;JLP;4;0;111
2018-12-18 00:00:00.000;567;JLP;4;0;112
2018-12-19 00:00:00.000;573;VNS;1;0;113
2018-12-19 00:00:00.000;111;VNS;4;0;114
2018-12-19 00:00:00.000;514;VNS;4;0;115
2018-12-19 00:00:00.000;257;VNS;1;0;116
2018-12-19 00:00:00.000;400;VNS;3;0;117
2018-12-19 00:00:00.000;290;VNS;3;0;118
2018-12-19 00:00:00.000;180;VNS;4;0;119
2018-12-19 00:00:00.000;317;VNS;4;0;120
2018-12-19 00:00:00.000;235;VNS;4;0;121
2018-12-19 00:00:00.000;117;VNS;4;0;122
2018-12-19 00:00:00.000;538;VNS;4;0;123
2018-12-19 00:00:00.000;302;VNS;4;0;124
2018-12-19 00:00:00.000;390;VNS;1;0;125
2018-12-19 00:00:00.000;254;VNS;4;0;126
2018-12-19 00:00:00.000;519;VNS;1;0;127
2018-12-19 00:00:00.000;135;VNS;3;0;128
2018-12-19 00:00:00.000;173;VNS;4;0;129
2018-12-19 00:00:00.000;237;VNS;1;0;130
2018-12-19 00:00:00.000;202;VNS;1;0;131
2018-12-19 00:00:00.000;352;VNS;4;0;132
2018-12-19 00:00:00.000;143;VNS;4;0;133
2018-12-19 00:00:00.000;239;VNS;4;0;134
2018-12-19 00:00:00.000;478;VNS;1;0;135
2018-12-19 00:00:00.000;600;VNS;4;0;136
2018-12-19 00:00:00.000;581;VNS;1;0;137
2018-12-19 00:00:00.000;297;JLP;4;0;138
2018-12-19 00:00:00.000;450;JLP;4;0;139
2018-12-19 00:00:00.000;604;JLP;4;0;140
2018-12-19 00:00:00.000;545;JLP;1;0;141
2018-12-19 00:00:00.000;430;JLP;4;0;142
2018-12-19 00:00:00.000;550;JLP;4;0;143
2018-12-19 00:00:00.000;415;JLP;3;0;144
2018-12-19 00:00:00.000;340;JLP;4;0;145
2018-12-19 00:00:00.000;291;JLP;4;0;146
2018-12-19 00:00:00.000;477;JLP;1;0;147
2018-12-19 00:00:00.000;316;JLP;1;0;148
2018-12-19 00:00:00.000;129;JLP;1;0;149
2018-12-19 00:00:00.000;323;JLP;1;0;150
2018-12-19 00:00:00.000;177;JLP;1;0;151
2018-12-19 00:00:00.000;460;JLP;##;0;152
2018-12-19 00:00:00.000;421;JLP;3;0;153
2018-12-19 00:00:00.000;420;JLP;1;0;154
2018-12-19 00:00:00.000;444;JLP;1;0;155
2018-12-19 00:00:00.000;531;JLP;1;0;156
2018-12-19 00:00:00.000;474;JLP;3;0;157
2018-12-19 00:00:00.000;407;JLP;4;0;158
2018-12-19 00:00:00.000;320;JLP;1;0;159
2018-12-19 00:00:00.000;524;JLP;4;0;160
2018-12-19 00:00:00.000;518;JLP;##;0;161
2018-12-19 00:00:00.000;337;JLP;4;0;162
2018-12-19 00:00:00.000;240;JLP;4;0;163
2018-12-19 00:00:00.000;282;JLP;4;0;164
2018-12-19 00:00:00.000;336;JLP;4;0;165
2018-12-19 00:00:00.000;161;JLP;4;0;166
2018-12-19 00:00:00.000;316;JLP;1;0;167
2018-12-19 00:00:00.000;403;JLP;4;0;168
2018-12-19 00:00:00.000;435;JLP;4;0;169
2018-12-19 00:00:00.000;365;JLP;4;0;170
2018-12-19 00:00:00.000;554;JLP;1;0;171
2018-12-19 00:00:00.000;132;JLP;4;0;172
2018-12-19 00:00:00.000;493;JLP;1;0;173
2018-12-19 00:00:00.000;564;JLP;4;0;174
2018-12-19 00:00:00.000;584;JLP;4;0;175
2018-12-19 00:00:00.000;207;JLP;##;0;176
2018-12-19 00:00:00.000;275;JLP;4;0;177
